miRNA_ID	Target_ID
hsa-miR-6516-5p	ENSG00000117480
hsa-miR-7974	ENSG00000151320
hsa-miR-143-3p	ENSG00000188316
hsa-miR-7974	ENSG00000105963
hsa-miR-6516-5p	ENSG00000136381
hsa-miR-6516-5p	ENSG00000130517
hsa-miR-6516-5p	ENSG00000113249
hsa-miR-6516-5p	ENSG00000117395
hsa-miR-6516-5p	ENSG00000167378
hsa-miR-6516-5p	ENSG00000196466
hsa-miR-6516-5p	ENSG00000169955
hsa-miR-6516-5p	ENSG00000113163
hsa-miR-6516-5p	ENSG00000182180
hsa-miR-143-3p	ENSG00000137992
hsa-miR-143-3p	ENSG00000158859
hsa-miR-6516-5p	ENSG00000198887
hsa-miR-6516-5p	ENSG00000188000
hsa-miR-143-3p	ENSG00000188000
hsa-miR-6516-5p	ENSG00000183682
hsa-miR-6516-5p	ENSG00000185823
hsa-miR-6516-5p	ENSG00000196150
hsa-miR-6516-5p	ENSG00000081377
hsa-miR-143-3p	ENSG00000100596
hsa-miR-450b-5p	ENSG00000183779
hsa-miR-143-3p	ENSG00000101966
hsa-miR-450b-5p	ENSG00000148429
hsa-miR-7974	ENSG00000163792
hsa-miR-181a-2-3p	ENSG00000163792
hsa-miR-6516-5p	ENSG00000185236
hsa-miR-6516-5p	ENSG00000117569
hsa-miR-143-3p	ENSG00000164902
hsa-miR-6516-5p	ENSG00000186416
hsa-miR-6516-5p	ENSG00000119950
hsa-miR-7974	ENSG00000116871
hsa-miR-450b-5p	ENSG00000183908
hsa-miR-6516-5p	ENSG00000175538
hsa-miR-6516-5p	ENSG00000017427
hsa-miR-450b-5p	ENSG00000138867
hsa-miR-6516-5p	ENSG00000138867
hsa-miR-450b-5p	ENSG00000110768
hsa-miR-6516-5p	ENSG00000160049
hsa-miR-6516-5p	ENSG00000243317
hsa-miR-6516-5p	ENSG00000078237
hsa-miR-184	ENSG00000131871
hsa-miR-450b-5p	ENSG00000169679
hsa-miR-181a-2-3p	ENSG00000118777
hsa-miR-450b-5p	ENSG00000181704
hsa-miR-181a-2-3p	ENSG00000197008
hsa-miR-450b-5p	ENSG00000007237
hsa-miR-6516-5p	ENSG00000134108
hsa-miR-450b-5p	ENSG00000160439
hsa-miR-450b-5p	ENSG00000122692
hsa-miR-6516-5p	ENSG00000134539
hsa-miR-7974	ENSG00000205572
hsa-miR-181a-2-3p	ENSG00000184937
hsa-miR-6516-5p	ENSG00000056558
hsa-miR-143-3p	ENSG00000177954
hsa-miR-7974	ENSG00000172058
hsa-miR-143-3p	ENSG00000166913
hsa-miR-450b-5p	ENSG00000137860
hsa-miR-450b-5p	ENSG00000183513
hsa-miR-6516-5p	ENSG00000197951
hsa-miR-6516-5p	ENSG00000180318
hsa-miR-181a-2-3p	ENSG00000107951
hsa-miR-450b-5p	ENSG00000065325
hsa-miR-181a-2-3p	ENSG00000255346
hsa-miR-7974	ENSG00000135372
hsa-miR-7974	ENSG00000115902
hsa-miR-6516-5p	ENSG00000100714
hsa-miR-450b-5p	ENSG00000168795
hsa-miR-6516-5p	ENSG00000180667
hsa-miR-6516-5p	ENSG00000162692
hsa-miR-181a-2-3p	ENSG00000086712
hsa-miR-181a-2-3p	ENSG00000072315
hsa-miR-6516-5p	ENSG00000183160
hsa-miR-181a-2-3p	ENSG00000177565
hsa-miR-7974	ENSG00000157106
hsa-miR-181a-2-3p	ENSG00000065665
hsa-miR-450b-5p	ENSG00000256463
hsa-miR-450b-5p	ENSG00000145555
hsa-miR-450b-5p	ENSG00000158042
hsa-miR-181a-2-3p	ENSG00000186260
hsa-miR-450b-5p	ENSG00000140406
hsa-miR-7974	ENSG00000143797
hsa-miR-450b-5p	ENSG00000107643
hsa-miR-7974	ENSG00000204590
hsa-miR-143-3p	ENSG00000103365
hsa-miR-6516-5p	ENSG00000142871
hsa-miR-181a-2-3p	ENSG00000164597
hsa-miR-450b-5p	ENSG00000169714
hsa-miR-450b-5p	ENSG00000151458
hsa-miR-181a-2-3p	ENSG00000151458
hsa-miR-450b-5p	ENSG00000111058
hsa-miR-143-3p	ENSG00000196323
hsa-miR-450b-5p	ENSG00000188039
hsa-miR-6516-5p	ENSG00000188542
hsa-miR-450b-5p	ENSG00000164056
hsa-miR-6516-5p	ENSG00000054598
hsa-miR-6516-5p	ENSG00000143032
hsa-miR-450b-5p	ENSG00000154217
hsa-miR-6516-5p	ENSG00000154217
hsa-miR-6516-5p	ENSG00000186222
hsa-miR-6516-5p	ENSG00000113569
hsa-miR-6516-5p	ENSG00000074356
hsa-miR-6516-5p	ENSG00000119231
hsa-miR-450b-5p	ENSG00000076716
hsa-miR-6516-5p	ENSG00000169895
hsa-miR-6516-5p	ENSG00000113360
hsa-miR-143-3p	ENSG00000173320
hsa-miR-450b-5p	ENSG00000131263
hsa-miR-450b-5p	ENSG00000084733
hsa-miR-6516-5p	ENSG00000084733
hsa-miR-450b-5p	ENSG00000181061
hsa-miR-6516-5p	ENSG00000187097
hsa-miR-6516-5p	ENSG00000167193
hsa-miR-6516-5p	ENSG00000114739
hsa-miR-450b-5p	ENSG00000189367
hsa-miR-6516-5p	ENSG00000267060
hsa-miR-6516-5p	ENSG00000188211
hsa-miR-450b-5p	ENSG00000184374
hsa-miR-450b-5p	ENSG00000077232
hsa-miR-450b-5p	ENSG00000197714
hsa-miR-450b-5p	ENSG00000119725
hsa-miR-6516-5p	ENSG00000119725
hsa-miR-6516-5p	ENSG00000181704
hsa-miR-181a-2-3p	ENSG00000122692
hsa-miR-450b-5p	ENSG00000163950
hsa-miR-450b-5p	ENSG00000105063
hsa-miR-143-3p	ENSG00000120837
hsa-miR-6516-5p	ENSG00000167548
hsa-miR-450b-5p	ENSG00000100281
hsa-miR-450b-5p	ENSG00000276023
hsa-miR-6516-5p	ENSG00000276023
hsa-miR-6516-5p	ENSG00000133657
hsa-miR-181a-2-3p	ENSG00000128989
hsa-miR-6516-5p	ENSG00000129484
hsa-miR-6516-5p	ENSG00000152056
hsa-miR-450b-5p	ENSG00000143157
hsa-miR-6516-5p	ENSG00000143157
hsa-miR-450b-5p	ENSG00000182158
hsa-miR-450b-5p	ENSG00000189306
hsa-miR-6516-5p	ENSG00000197362
hsa-miR-450b-5p	ENSG00000149212
hsa-miR-6516-5p	ENSG00000113368
hsa-miR-181a-2-3p	ENSG00000174010
hsa-miR-450b-5p	ENSG00000164542
hsa-miR-143-3p	ENSG00000115461
hsa-miR-450b-5p	ENSG00000110987
hsa-miR-450b-5p	ENSG00000198346
hsa-miR-6516-5p	ENSG00000113810
hsa-miR-6516-5p	ENSG00000175104
hsa-miR-181a-2-3p	ENSG00000155545
hsa-miR-450b-5p	ENSG00000187772
hsa-miR-450b-5p	ENSG00000169756
hsa-miR-143-3p	ENSG00000162783
hsa-miR-143-3p	ENSG00000114744
hsa-miR-6516-5p	ENSG00000091527
hsa-miR-450b-5p	ENSG00000156273
hsa-miR-450b-5p	ENSG00000108599
hsa-miR-450b-5p	ENSG00000075624
hsa-miR-184	ENSG00000136802
hsa-miR-181a-2-3p	ENSG00000148296
hsa-miR-181a-2-3p	ENSG00000151500
hsa-miR-7974	ENSG00000146576
hsa-miR-184	ENSG00000184371
hsa-miR-143-3p	ENSG00000188312
hsa-miR-6516-5p	ENSG00000183813
hsa-miR-181a-2-3p	ENSG00000172782
hsa-miR-181a-2-3p	ENSG00000154710
hsa-miR-143-3p	ENSG00000198839
hsa-miR-181a-2-3p	ENSG00000107758
hsa-miR-181a-2-3p	ENSG00000197879
hsa-miR-143-3p	ENSG00000014824
hsa-miR-450b-5p	ENSG00000053371
hsa-miR-7974	ENSG00000215193
hsa-miR-181a-2-3p	ENSG00000173253
hsa-miR-184	ENSG00000116329
hsa-miR-7974	ENSG00000235750
hsa-miR-7974	ENSG00000126351
hsa-miR-7974	ENSG00000175544
hsa-miR-7974	ENSG00000115041
hsa-miR-6516-5p	ENSG00000162065
hsa-miR-143-3p	ENSG00000272325
hsa-miR-143-3p	ENSG00000111331
hsa-miR-450b-5p	ENSG00000162241
hsa-miR-181a-2-3p	ENSG00000188263
hsa-miR-450b-5p	ENSG00000108312
hsa-miR-450b-5p	ENSG00000145919
hsa-miR-450b-5p	ENSG00000175395
hsa-miR-6516-5p	ENSG00000175395
hsa-miR-450b-5p	ENSG00000166351
hsa-miR-6516-5p	ENSG00000166351
hsa-miR-7974	ENSG00000130165
hsa-miR-450b-5p	ENSG00000163602
hsa-miR-181a-2-3p	ENSG00000023171
hsa-miR-450b-5p	ENSG00000136928
hsa-miR-450b-5p	ENSG00000134852
hsa-miR-450b-5p	ENSG00000141582
hsa-miR-450b-5p	ENSG00000141867
hsa-miR-143-3p	ENSG00000139629
hsa-miR-143-3p	ENSG00000075234
hsa-miR-450b-5p	ENSG00000116209
hsa-miR-450b-5p	ENSG00000066557
hsa-miR-450b-5p	ENSG00000162924
hsa-miR-6516-5p	ENSG00000162924
hsa-miR-450b-5p	ENSG00000078401
hsa-miR-450b-5p	ENSG00000112339
hsa-miR-450b-5p	ENSG00000132854
hsa-miR-450b-5p	ENSG00000111832
hsa-miR-143-3p	ENSG00000121207
hsa-miR-450b-5p	ENSG00000187268
hsa-miR-450b-5p	ENSG00000049089
hsa-miR-181a-2-3p	ENSG00000198929
hsa-miR-450b-5p	ENSG00000169860
hsa-miR-143-3p	ENSG00000197894
hsa-miR-6516-5p	ENSG00000139697
hsa-miR-450b-5p	ENSG00000205922
hsa-miR-450b-5p	ENSG00000275023
hsa-miR-450b-5p	ENSG00000103591
hsa-miR-6516-5p	ENSG00000000457
hsa-miR-450b-5p	ENSG00000215193
hsa-miR-450b-5p	ENSG00000015475
hsa-miR-181a-2-3p	ENSG00000105409
hsa-miR-450b-5p	ENSG00000151422
hsa-miR-450b-5p	ENSG00000177511
hsa-miR-450b-5p	ENSG00000189403
hsa-miR-450b-5p	ENSG00000175220
hsa-miR-450b-5p	ENSG00000118263
hsa-miR-143-3p	ENSG00000171612
hsa-miR-7974	ENSG00000078269
hsa-miR-7974	ENSG00000134369
hsa-miR-450b-5p	ENSG00000164520
hsa-miR-7974	ENSG00000164100
hsa-miR-143-3p	ENSG00000146267
hsa-miR-6516-5p	ENSG00000104413
hsa-miR-450b-5p	ENSG00000119878
hsa-miR-450b-5p	ENSG00000101966
hsa-miR-450b-5p	ENSG00000186566
hsa-miR-450b-5p	ENSG00000154928
hsa-miR-450b-5p	ENSG00000149547
hsa-miR-6516-5p	ENSG00000149547
hsa-miR-181a-2-3p	ENSG00000132254
hsa-miR-450b-5p	ENSG00000139428
hsa-miR-6516-5p	ENSG00000136026
hsa-miR-450b-5p	ENSG00000006638
hsa-miR-450b-5p	ENSG00000196660
hsa-miR-6516-5p	ENSG00000196660
hsa-miR-450b-5p	ENSG00000140798
hsa-miR-181a-2-3p	ENSG00000176994
hsa-miR-450b-5p	ENSG00000177485
hsa-miR-143-3p	ENSG00000151413
hsa-miR-143-3p	ENSG00000149575
hsa-miR-450b-5p	ENSG00000110723
hsa-miR-450b-5p	ENSG00000099995
hsa-miR-143-3p	ENSG00000090661
hsa-miR-6516-5p	ENSG00000187268
hsa-miR-143-3p	ENSG00000242028
hsa-miR-6516-5p	ENSG00000186017
hsa-miR-450b-5p	ENSG00000168724
hsa-miR-450b-5p	ENSG00000049883
hsa-miR-181a-2-3p	ENSG00000063587
hsa-miR-6516-5p	ENSG00000187239
hsa-miR-450b-5p	ENSG00000073060
hsa-miR-6516-5p	ENSG00000184302
hsa-miR-450b-5p	ENSG00000166819
hsa-miR-450b-5p	ENSG00000149084
hsa-miR-6516-5p	ENSG00000145375
hsa-miR-181a-2-3p	ENSG00000135148
hsa-miR-450b-5p	ENSG00000103490
hsa-miR-450b-5p	ENSG00000040531
hsa-miR-450b-5p	ENSG00000010270
hsa-miR-450b-5p	ENSG00000104415
hsa-miR-450b-5p	ENSG00000156687
hsa-miR-143-3p	ENSG00000206557
hsa-miR-143-3p	ENSG00000126953
hsa-miR-450b-5p	ENSG00000167703
hsa-miR-6516-5p	ENSG00000167703
hsa-miR-7974	ENSG00000117601
hsa-miR-450b-5p	ENSG00000173482
hsa-miR-450b-5p	ENSG00000288701
hsa-miR-6516-5p	ENSG00000182836
hsa-miR-6516-5p	ENSG00000145388
hsa-miR-450b-5p	ENSG00000162441
hsa-miR-450b-5p	ENSG00000084444
hsa-miR-450b-5p	ENSG00000165757
hsa-miR-450b-5p	ENSG00000157542
hsa-miR-6516-5p	ENSG00000157542
hsa-miR-6516-5p	ENSG00000261609
hsa-miR-143-3p	ENSG00000175874
hsa-miR-450b-5p	ENSG00000135074
hsa-miR-143-3p	ENSG00000273045
hsa-miR-6516-5p	ENSG00000144161
hsa-miR-450b-5p	ENSG00000203791
hsa-miR-6516-5p	ENSG00000196199
hsa-miR-181a-2-3p	ENSG00000151806
hsa-miR-143-3p	ENSG00000005020
hsa-miR-450b-5p	ENSG00000102098
hsa-miR-450b-5p	ENSG00000163694
hsa-miR-450b-5p	ENSG00000115041
hsa-miR-450b-5p	ENSG00000141627
hsa-miR-6516-5p	ENSG00000169714
hsa-miR-6516-5p	ENSG00000140090
hsa-miR-143-3p	ENSG00000134759
hsa-miR-143-3p	ENSG00000189144
hsa-miR-143-3p	ENSG00000156381
hsa-miR-143-3p	ENSG00000205085
hsa-miR-143-3p	ENSG00000197013
hsa-miR-143-3p	ENSG00000161405
hsa-miR-143-3p	ENSG00000100364
hsa-miR-143-3p	ENSG00000122912
hsa-miR-143-3p	ENSG00000272047
hsa-miR-143-3p	ENSG00000169139
hsa-miR-143-3p	ENSG00000163827
hsa-miR-143-3p	ENSG00000164008
hsa-miR-143-3p	ENSG00000198863
hsa-miR-143-3p	ENSG00000131931
hsa-miR-143-3p	ENSG00000213699
hsa-miR-143-3p	ENSG00000171295
hsa-miR-143-3p	ENSG00000104671
hsa-miR-143-3p	ENSG00000107679
hsa-miR-143-3p	ENSG00000214114
hsa-miR-143-3p	ENSG00000206260
hsa-miR-143-3p	ENSG00000169418
hsa-miR-143-3p	ENSG00000180263
hsa-miR-143-3p	ENSG00000112486
hsa-miR-143-3p	ENSG00000186628
hsa-miR-143-3p	ENSG00000243646
hsa-miR-6516-5p	ENSG00000133393
hsa-miR-6516-5p	ENSG00000100890
hsa-miR-6516-5p	ENSG00000154721
hsa-miR-6516-5p	ENSG00000114054
hsa-miR-6516-5p	ENSG00000139174
hsa-miR-6516-5p	ENSG00000258405
hsa-miR-6516-5p	ENSG00000213672
