miRNA_ID	Target_ID
hsa-miR-27b-3p	ENSG00000112576
hsa-miR-27b-3p	ENSG00000133687
hsa-miR-23b-3p	ENSG00000115904
hsa-miR-23b-3p	ENSG00000143947
hsa-miR-23b-3p	ENSG00000116062
hsa-miR-23b-3p	ENSG00000166831
hsa-miR-23b-3p	ENSG00000156515
hsa-miR-23b-3p	ENSG00000123066
hsa-miR-23b-3p	ENSG00000130638
hsa-miR-23b-3p	ENSG00000134371
hsa-miR-23b-3p	ENSG00000196924
hsa-miR-23b-3p	ENSG00000139842
hsa-miR-23b-3p	ENSG00000124201
hsa-miR-23b-3p	ENSG00000140740
hsa-miR-23b-3p	ENSG00000100354
hsa-miR-23b-3p	ENSG00000123374
hsa-miR-23b-3p	ENSG00000130402
hsa-miR-23b-3p	ENSG00000163399
hsa-miR-23b-3p	ENSG00000213782
hsa-miR-23b-3p	ENSG00000100614
hsa-miR-23b-3p	ENSG00000213639
hsa-miR-23b-3p	ENSG00000149532
hsa-miR-23b-3p	ENSG00000135677
hsa-miR-23b-3p	ENSG00000002834
hsa-miR-23b-3p	ENSG00000131236
hsa-miR-23b-3p	ENSG00000025039
hsa-miR-23b-3p	ENSG00000141002
hsa-miR-23b-3p	ENSG00000152102
hsa-miR-23b-3p	ENSG00000074582
hsa-miR-23b-3p	ENSG00000153561
hsa-miR-23b-3p	ENSG00000143621
hsa-miR-23b-3p	ENSG00000111640
hsa-miR-23b-3p	ENSG00000204574
hsa-miR-23b-3p	ENSG00000135624
hsa-miR-23b-3p	ENSG00000198689
hsa-miR-23b-3p	ENSG00000004487
hsa-miR-23b-3p	ENSG00000149136
hsa-miR-23b-3p	ENSG00000040933
hsa-miR-23b-3p	ENSG00000101161
hsa-miR-23b-3p	ENSG00000204628
hsa-miR-23b-3p	ENSG00000120438
hsa-miR-23b-3p	ENSG00000143393
hsa-miR-23b-3p	ENSG00000166025
hsa-miR-23b-3p	ENSG00000171552
hsa-miR-23b-3p	ENSG00000121741
hsa-miR-23b-3p	ENSG00000089597
hsa-miR-23b-3p	ENSG00000178035
hsa-miR-23b-3p	ENSG00000152661
hsa-miR-23b-3p	ENSG00000198804
hsa-miR-23b-3p	ENSG00000270276
hsa-miR-23b-3p	ENSG00000131504
hsa-miR-23b-3p	ENSG00000105323
hsa-miR-23b-3p	ENSG00000099942
hsa-miR-23b-3p	ENSG00000134262
hsa-miR-23b-3p	ENSG00000111540
